report_id,instrument,product,result,product1_id,product2_id,product3_id
Report_1206,Ion Chromatograph IC-2100,"Almond Oil, Beeswax, Vitamin E",50,Almond Oil,Beeswax,Vitamin E
Report_1226,Mass Spectrometer MS-20,"Jojoba Oil, Gum, Vitamin E",1750,Jojoba Oil,Gum,Vitamin E
Report_1226,UV-Vis Spectrophotometer UV-2600,"Almond Oil, Beeswax, Vitamin E",1.8,Almond Oil,Beeswax,Vitamin E
Report_1226,Conductivity Meter CM-215,"Jojoba Oil, Cetyl Alcohol, Glycerin",1500,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1226,Thermocycler TC-5000,"Coconut Oil, Gum, Glycerin",85,Coconut Oil,Gum,Glycerin
Report_1228,NMR-500,"Almond Oil, Beeswax, Vitamin E",Chemical Shift,Almond Oil,Beeswax,Vitamin E
Report_1228,IC-2100,"Almond Oil, Beeswax, Glycerin",Concentration,Almond Oil,Beeswax,Glycerin
Report_1228,PH-700,"Coconut Oil, Beeswax, Glycerin",pH,Coconut Oil,Beeswax,Glycerin
Report_1228,LC-400,"Coconut Oil, Gum, Glycerin",Concentration,Coconut Oil,Gum,Glycerin
Report_1228,HPLC-9000,"Jojoba Oil, Cetyl Alcohol, Vitamin E",Concentration,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1228,X100,"Jojoba Oil, Cetyl Alcohol, Glycerin",Speed,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1228,Alpha-300,"Almond Oil, Cetyl Alcohol, Vitamin E",Wavelength,Almond Oil,Cetyl Alcohol,Vitamin E
Report_1237,HPLC System HPLC-9000,"Coconut Oil, Cetyl Alcohol, Glycerin",0.5,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1237,Liquid Chromatograph LC-400,"Coconut Oil, Beeswax, Vitamin E",50,Coconut Oil,Beeswax,Vitamin E
Report_1237,Gas Chromatograph GC-2010,"Almond Oil, Beeswax, Vitamin E",500,Almond Oil,Beeswax,Vitamin E
Report_1237,Mass Spectrometer MS-20,"Almond Oil, Gum, Glycerin",1500,Almond Oil,Gum,Glycerin
Report_1237,Spectrometer Alpha-300,"Coconut Oil, Gum, Vitamin E",450,Coconut Oil,Gum,Vitamin E
Report_1253,Liquid Chromatograph LC-400,"Almond Oil, Beeswax, Glycerin",Concentration,Almond Oil,Beeswax,Glycerin
Report_1253,X-Ray Diffractometer XRD-6000,"Jojoba Oil, Gum, Vitamin E",Temperature,Jojoba Oil,Gum,Vitamin E
Report_1253,Conductivity Meter CM-215,"Coconut Oil, Cetyl Alcohol, Glycerin",Conductivity,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1253,Viscometer VS-300,"Jojoba Oil, Gum, Glycerin",Viscosity,Jojoba Oil,Gum,Glycerin
Report_1262,Four Ball FB-1000,"Almond Oil, Gum, Vit E",Wear Scar Diameter,Almond Oil,Gum,Vit E
Report_1262,Ion Chromatograph IC-2100,"Coconut Oil, Cetyl Alc, Glycerin",Concentration,Coconut Oil,Cetyl Alc,Glycerin
Report_1262,pH Meter PH-700,"Coconut Oil, Beeswax, Glycerin",pH,Coconut Oil,Beeswax,Glycerin
Report_1262,FTIR Spectrometer FTIR-8400,"Almond Oil, Gum, Glycerin",Absorbance,Almond Oil,Gum,Glycerin
Report_128,Liquid Chromatograph LC-400,"Almond Oil, Gum, Vitamin E",250 μg/mL,Almond Oil,Gum,Vitamin E
Report_128,Centrifuge X100,"Jojoba Oil, Cetyl Alcohol, Vitamin E",12000 RPM,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_128,Viscometer VS-300,"Coconut Oil, Beeswax, Vitamin E",4728.66 cP,Coconut Oil,Beeswax,Vitamin E
Report_1316,Ionization at 1200 m/z,"Jojoba Oil, Beeswax, Glycerin",Identified Peaks,Jojoba Oil,Beeswax,Glycerin
Report_1316,Elution at 340 mg/L,"Jojoba Oil, Beeswax, Glycerin",Component Quantified,Jojoba Oil,Beeswax,Glycerin
Report_133,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Cetyl Alcohol, Glycerin",1.25,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_133,Spectrometer Alpha-300,"Jojoba Oil, Beeswax, Vitamin E",850,Jojoba Oil,Beeswax,Vitamin E
Report_133,Conductivity Meter CM-215,"Jojoba Oil, Beeswax, Glycerin",1500,Jojoba Oil,Beeswax,Glycerin
Report_133,Conductivity Meter CM-215,"Almond Oil, Cetyl Alcohol, Vit E",1800,Almond Oil,Cetyl Alcohol,Vit E
Report_133,Viscometer VS-300,"Almond Oil, Beeswax, Glycerin",7322.09,Almond Oil,Beeswax,Glycerin
Report_133,Viscometer VS-300,"Jojoba Oil, Cetyl Alcohol, Glycerin",2628.15,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_133,Ion Chromatograph IC-2100,"Coconut Oil, Gum, Vitamin E",75,Coconut Oil,Gum,Vitamin E
Report_1344,Gas Chromatograph GC-2010,"Almond Oil, Cetyl Alcohol, Glycerin",329.9,Almond Oil,Cetyl Alcohol,Glycerin
Report_1344,Viscometer VS-300,"Jojoba Oil, Gum, Glycerin",1856.31,Jojoba Oil,Gum,Glycerin
Report_1344,Viscometer VS-300,"Jojoba Oil, Gum, Glycerin",1880.08,Jojoba Oil,Gum,Glycerin
Report_1344,Viscometer VS-300,"Almond Oil, Beeswax, Vitamin E",7164.26,Almond Oil,Beeswax,Vitamin E
Report_1344,PCR Machine PCR-96,"Jojoba Oil, Cetyl Alcohol, Glycerin",28.4,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1344,Microplate Reader MRX,"Almond Oil, Cetyl Alcohol, Vitamin E",2.8,Almond Oil,Cetyl Alcohol,Vitamin E
Report_1344,HPLC System HPLC-9000,"Almond Oil, Gum, Vitamin E",482.7,Almond Oil,Gum,Vitamin E
Report_1363,Liquid Chromatograph LC-400,"Coconut Oil, Gum, Vitamin E",120.3 µg/mL,Coconut Oil,Gum,Vitamin E
Report_1363,Rheometer R-4500,"Almond Oil, Gum, Vitamin E",120.5 Pa-s,Almond Oil,Gum,Vitamin E
Report_1374,Gas Chromatograph GC-2010,"Almond Oil, Cetyl Alcohol, Glycerin",750,Almond Oil,Cetyl Alcohol,Glycerin
Report_1374,HPLC System HPLC-9000,"Coconut Oil, Gum, Glycerin",850,Coconut Oil,Gum,Glycerin
Report_1374,Rheometer R-4500,"Jojoba Oil, Beeswax, Vitamin E",400,Jojoba Oil,Beeswax,Vitamin E
Report_1374,Four Ball FB-1000,"Jojoba Oil, Beeswax, Vitamin E",0.8,Jojoba Oil,Beeswax,Vitamin E
Report_1378,Gas Chromatograph GC-2010,"Almond Oil, Gum, Glycerin",678,Almond Oil,Gum,Glycerin
Report_1378,Conductivity Meter CM-215,"Jojoba Oil, Cetyl Alcohol, Glycerin",1540,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1378,Four Ball FB-1000,"Almond Oil, Beeswax, Glycerin",0.753,Almond Oil,Beeswax,Glycerin
Report_138,Conductivity Meter CM-215,"Jojoba Oil, Cetyl Alcohol, Vitamin E",750,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_138,X-Ray Diffractometer XRD-6000,"Jojoba Oil, Gum, Vitamin E",110,Jojoba Oil,Gum,Vitamin E
Report_1402,NMR Spectrometer NMR-500,"Jojoba Oil, Cetyl Alcohol, Glycerin",12.5,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1402,Gas Chromatograph GC-2010,"Almond Oil, Cetyl Alcohol, Glycerin",150,Almond Oil,Cetyl Alcohol,Glycerin
Report_1402,HPLC System HPLC-9000,"Jojoba Oil, Beeswax, Glycerin",250,Jojoba Oil,Beeswax,Glycerin
Report_1402,Centrifuge X100,"Almond Oil, Cetyl Alcohol, Glycerin",8000,Almond Oil,Cetyl Alcohol,Glycerin
Report_1402,Centrifuge X100,"Jojoba Oil, Cetyl Alcohol, Glycerin",12000,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1402,Titrator T-905,"Jojoba Oil, Beeswax, Glycerin",0.005,Jojoba Oil,Beeswax,Glycerin
Report_143,Microplate Reader MRX,"Jojoba Oil, Cetyl Alcohol, Glycerin",3.2,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_143,Spectrometer Alpha-300,"Coconut Oil, Beeswax, Glycerin",550,Coconut Oil,Beeswax,Glycerin
Report_143,NMR Spectrometer NMR-500,"Almond Oil, Gum, Vitamin E",12,Almond Oil,Gum,Vitamin E
Report_143,Viscometer VS-300,"Coconut Oil, Cetyl Alcohol, Glycerin",5170.29,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1432,Spectrometer Alpha-300,"Coconut Oil, Gum, Glycerin",715,Coconut Oil,Gum,Glycerin
Report_1432,Gas Chromatograph GC-2010,"Coconut Oil, Beeswax, Vitamin E",0.5,Coconut Oil,Beeswax,Vitamin E
Report_1432,Conductivity Meter CM-215,"Jojoba Oil, Gum, Glycerin",1200,Jojoba Oil,Gum,Glycerin
Report_1432,Rheometer R-4500,"Jojoba Oil, Cetyl Alcohol, Vitamin E",0.9,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1464,NMR Spectrometer NMR-500,"Jojoba Oil, Cetyl Alcohol, Vitamin E",8.5 ppm,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1464,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Cetyl Alcohol, Vitamin E",2.3 Abs,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1466,Microplate Reader MRX,"Almond Oil, Beeswax, Vitamin E",2.7,Almond Oil,Beeswax,Vitamin E
Report_1466,NMR Spectrometer NMR-500,"Almond Oil, Gum, Glycerin",12,Almond Oil,Gum,Glycerin
Report_1466,X-Ray Diffractometer XRD-6000,"Almond Oil, Beeswax, Glycerin",85,Almond Oil,Beeswax,Glycerin
Report_1466,HPLC System HPLC-9000,"Coconut Oil, Beeswax, Vitamin E",234,Coconut Oil,Beeswax,Vitamin E
Report_1466,Thermocycler TC-5000,"Jojoba Oil, Cetyl Alcohol, Glycerin",72,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1471,NMR Spectrometer NMR-500,"Almond Oil, Cetyl Alcohol, Vitamin E",15,Almond Oil,Cetyl Alcohol,Vitamin E
Report_1471,HPLC System HPLC-9000,"Coconut Oil, Cetyl Alcohol, Vitamin E",487.5,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1471,Ion Chromatograph IC-2100,"Coconut Oil, Beeswax, Glycerin",78.2,Coconut Oil,Beeswax,Glycerin
Report_1471,UV-Vis Spectrophotometer UV-2600,"Almond Oil, Gum, Vitamin E",1.8,Almond Oil,Gum,Vitamin E
Report_1473,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Cetyl Alcohol, Vitamin E",2.5,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1473,Viscometer VS-300,"Almond Oil, Gum, Vitamin E",7543.98,Almond Oil,Gum,Vitamin E
Report_1473,Viscometer VS-300,"Almond Oil, Beeswax, Vitamin E",7451.81,Almond Oil,Beeswax,Vitamin E
Report_1479,UV-Vis Spectrophotometer UV-2600,"Coconut Oil, Gum, Glycerin",3.1,Coconut Oil,Gum,Glycerin
Report_1479,Titrator T-905,"Coconut Oil, Beeswax, Vitamin E",0.005,Coconut Oil,Beeswax,Vitamin E
Report_1479,Titrator T-905,"Coconut Oil, Beeswax, Glycerin",0.15,Coconut Oil,Beeswax,Glycerin
Report_1479,Viscometer VS-300,"Coconut Oil, Beeswax, Vitamin E",4742.29,Coconut Oil,Beeswax,Vitamin E
Report_1479,Viscometer VS-300,"Coconut Oil, Beeswax, Vitamin E",4695.79,Coconut Oil,Beeswax,Vitamin E
Report_1483,Gas Chromatograph GC-2010,"Almond Oil, Beeswax, Glycerin",250,Almond Oil,Beeswax,Glycerin
Report_1483,Microplate Reader MRX,"Almond Oil, Cetyl Alcohol, Glycerin",2.5,Almond Oil,Cetyl Alcohol,Glycerin
Report_1483,Conductivity Meter CM-215,"Coconut Oil, Cetyl Alcohol, Vitamin E",1500,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1483,Four Ball FB-1000,"Jojoba Oil, Gum, Vitamin E",0.85,Jojoba Oil,Gum,Vitamin E
Report_1483,X-Ray Diffractometer XRD-6000,"Jojoba Oil, Cetyl Alcohol, Glycerin",90,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_15,Microplate Reader MRX,"Almond Oil, Cetyl Alcohol, Vitamin E",2.5,Almond Oil,Cetyl Alcohol,Vitamin E
Report_15,Mass Spectrometer MS-20,"Jojoba Oil, Cetyl Alcohol, Vitamin E",950,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_15,NMR Spectrometer NMR-500,"Almond Oil, Beeswax, Glycerin",10,Almond Oil,Beeswax,Glycerin
Report_15,Viscometer VS-300,"Almond Oil, Gum, Vitamin E",7649.09,Almond Oil,Gum,Vitamin E
Report_1526,pH Meter PH-700,"Coconut Oil, Gum, Glycerin",7.5,Coconut Oil,Gum,Glycerin
Report_1526,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Cetyl Alcohol, Vitamin E",2.7,Jojoba Oil,Cetyl Alcohol,Vitamin E
Report_1526,X-Ray Diffractometer XRD-6000,"Jojoba Oil, Gum, Vitamin E",120,Jojoba Oil,Gum,Vitamin E
Report_1526,Viscometer VS-300,"Coconut Oil, Gum, Vitamin E",5130.79,Coconut Oil,Gum,Vitamin E
Report_1526,HPLC System HPLC-9000,"Almond Oil, Gum, Vitamin E",750,Almond Oil,Gum,Vitamin E
Report_1526,Liquid Chromatograph LC-400,"Coconut Oil, Beeswax, Vitamin E",320,Coconut Oil,Beeswax,Vitamin E
Report_153,Liquid Chromatograph LC-400,"Jojoba Oil, Gum, Glycerin",50,Jojoba Oil,Gum,Glycerin
Report_153,Four Ball FB-1000,"Coconut Oil, Cetyl Alcohol, Glycerin",0.6,Coconut Oil,Cetyl Alcohol,Glycerin
Report_153,PCR Machine PCR-96,"Jojoba Oil, Cetyl Alcohol, Glycerin",30,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1533,Conductivity Meter CM-215,"Jojoba Oil, Beeswax, Vitamin E",1450,Jojoba Oil,Beeswax,Vitamin E
Report_1569,Thermocycler TC-5000,"Almond Oil, Cetyl Alcohol, Glycerin",55 °C,Almond Oil,Cetyl Alcohol,Glycerin
Report_1569,NMR Spectrometer NMR-500,"Almond Oil, Gum, Vitamin E",10.5 ppm,Almond Oil,Gum,Vitamin E
Report_1569,Viscometer VS-300,"Almond Oil, Beeswax, Vitamin E",7291.28 cP,Almond Oil,Beeswax,Vitamin E
Report_165,Rheometer R-4500,"Almond Oil, Beeswax, Vitamin E",Viscosity,Almond Oil,Beeswax,Vitamin E
Report_165,Titrator T-905,"Jojoba Oil, Beeswax, Glycerin",Molarity,Jojoba Oil,Beeswax,Glycerin
Report_1652,PCR Machine PCR-96,"Coconut Oil, Beeswax, Vitamin E",28,Coconut Oil,Beeswax,Vitamin E
Report_1664,pH Meter PH-700,"Jojoba Oil, Cetyl Alcohol, Glycerin",7.5,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1664,Mass Spectrometer MS-20,"Almond Oil, Cetyl Alcohol, Glycerin",534,Almond Oil,Cetyl Alcohol,Glycerin
Report_1687,FTIR-8400,"Jojoba Oil, Beeswax, Vitamin E",450,Jojoba Oil,Beeswax,Vitamin E
Report_1687,pH-700,"Almond Oil, Cetyl Alcohol, Glycerin",5.9,Almond Oil,Cetyl Alcohol,Glycerin
Report_1687,pH-700,"Almond Oil, Beeswax, Vitamin E",6.5,Almond Oil,Beeswax,Vitamin E
Report_1687,LC-400,"Coconut Oil, Gum, Vitamin E",250,Coconut Oil,Gum,Vitamin E
Report_1687,IC-2100,"Jojoba Oil, Gum, Glycerin",10,Jojoba Oil,Gum,Glycerin
Report_169,Viscometer VS-300,"Jojoba Oil, Gum, Vitamin E",2064.04,Jojoba Oil,Gum,Vitamin E
Report_169,pH Meter PH-700,"Almond Oil, Cetyl Alcohol, Vitamin E",7.2,Almond Oil,Cetyl Alcohol,Vitamin E
Report_169,Microplate Reader MRX,"Almond Oil, Cetyl Alcohol, Vitamin E",2.5,Almond Oil,Cetyl Alcohol,Vitamin E
Report_1730,Mass Spectrometer MS-20,"Coconut Oil, Cetyl Alcohol, Glycerin",1500,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1730,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Beeswax, Vitamin E",2.8,Jojoba Oil,Beeswax,Vitamin E
Report_1730,Spectrometer Alpha-300,"Coconut Oil, Gum, Glycerin",450,Coconut Oil,Gum,Glycerin
Report_1730,Titrator T-905,"Jojoba Oil, Gum, Vitamin E",0.05,Jojoba Oil,Gum,Vitamin E
Report_1730,PCR Machine PCR-96,"Almond Oil, Cetyl Alcohol, Vitamin E",30,Almond Oil,Cetyl Alcohol,Vitamin E
Report_1730,Conductivity Meter CM-215,"Coconut Oil, Cetyl Alcohol, Glycerin",1800,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1730,Viscometer VS-300,"Almond Oil, Gum, Glycerin",7642.45,Almond Oil,Gum,Glycerin
Report_1730,Viscometer VS-300,"Jojoba Oil, Beeswax, Vitamin E",3129.4,Jojoba Oil,Beeswax,Vitamin E
Report_1742,Mass Spectrometer MS-20,"Coconut Oil, Beeswax, Glycerin",150,Coconut Oil,Beeswax,Glycerin
Report_1742,Viscometer VS-300,"Almond Oil, Gum, Vitamin E",7806.24,Almond Oil,Gum,Vitamin E
Report_1743,X100,"Coconut Oil, Cetyl Alcohol, Vitamin E",8500 RPM,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1743,VS-300,"Almond Oil, Gum, Glycerin",7559.24 cP,Almond Oil,Gum,Glycerin
Report_1743,VS-300,"Coconut Oil, Cetyl Alcohol, Glycerin",5250.06 cP,Coconut Oil,Cetyl Alcohol,Glycerin
Report_1753,Spectrometer Alpha-300,"Jojoba Oil, Gum, Vitamin E",Wavelength,Jojoba Oil,Gum,Vitamin E
Report_1753,UV-Vis Spectrophotometer UV-2600,"Coconut Oil, Gum, Glycerin",Absorbance,Coconut Oil,Gum,Glycerin
Report_1753,Gas Chromatograph GC-2010,"Jojoba Oil, Beeswax, Glycerin",Concentration,Jojoba Oil,Beeswax,Glycerin
Report_1779,Liquid Chromatograph LC-400,"Jojoba Oil, Beeswax, Vitamin E",ug/mL: 250,Jojoba Oil,Beeswax,Vitamin E
Report_1779,Conductivity Meter CM-215,"Jojoba Oil, Beeswax, Glycerin",uS/cm: 1800,Jojoba Oil,Beeswax,Glycerin
Report_1796,Conductivity Meter CM-215,"Coconut Oil, Cetyl Alcohol, Vitamin E",Conductivity: 1250,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1796,UV-Vis Spectrophotometer UV-2600,"Jojoba Oil, Cetyl Alcohol, Glycerin",Absorbance: 2.7,Jojoba Oil,Cetyl Alcohol,Glycerin
Report_1796,Gas Chromatograph GC-2010,"Jojoba Oil, Beeswax, Glycerin",Concentration: 850,Jojoba Oil,Beeswax,Glycerin
Report_1796,PCR Machine PCR-96,"Coconut Oil, Gum, Glycerin",Cycle Threshold: 25,Coconut Oil,Gum,Glycerin
Report_1796,Rheometer R-4500,"Coconut Oil, Cetyl Alcohol, Vitamin E",Viscosity: 450,Coconut Oil,Cetyl Alcohol,Vitamin E
Report_1796,Liquid Chromatograph LC-400,"Jojoba Oil, Beeswax, Glycerin",Concentration: 200,Jojoba Oil,Beeswax,Glycerin
Report_1796,Thermocycler TC-5000,"Coconut Oil, Gum, Glycerin",Temperature: 37,Coconut Oil,Gum,Glycerin
